name,place,owner,content
なるほど体感！サイエンスショー,工学部2号館,サイエンスコミュニケーションサークルCAST,パフォーマンス/ショー
作って体感！サイエンスアトリエ,工学部2号館,サイエンスコミュニケーションサークルCAST,学術/体験
なるほど実感！サイエンスミュージアム,工学部2号館,サイエンスコミュニケーションサークルCAST,学術/展示
みかんのお酒飲み比べ,農学部1号館,みかん愛好会アラムナイ「晩柑会」,飲食/酒類
世界のお酒,正赤通りB5,教養学部教養学科総合社会科学分科,飲食/酒類
ふぃろ処,工学部6号館横3,フィロムジカ有志,飲食/飲み物
五月酔,工学部広場D4,酒料理研究会,飲食/酒類
東大踊々夢,工学部広場ステージ,まるきゅうProject,パフォーマンス/ダンス
盤上遊戯堂,工学部1号館,理科二・三類17組,エンタメ/ゲーム、パズル
Je suis donut?,正赤通りB2,文科一・二類25組,飲食/スイーツ
精密Lab.,工学部14号館,工学部精密工学科,学術/体験
しゃかいきばんど,セントラルステージ,工学部社会基盤学科B4M2有志,音楽/バンド
絶品！ふくいのソースかつ,銀杏並木B6,学生団体おちょきん,飲食/軽食
肉汁汁汁！美味すぎて滅！,農学部2号館前B6,TECKTECK,飲食/軽食
10分で伝えます！東大研究最前線,工学部3号館2階,大学院生詰め合わせ,学術/講演会、発表
狩人の会 ジビエソーセージ,正赤通りD1,狩人の会,飲食/軽食
神社カフェ,工学部1号館,神社研究会,飲食/軽食
BR研五月祭ライブ,図書館通りC1,British Rock研究会,音楽/バンド
絶品牛串研究会,図書館通りA1,理科一類16組,飲食/軽食
海洋プラからキーホルダー作り＆沖縄茶菓子,農学部1号館,Diligent,エンタメ/工作、体験
東京大学FGA教室ライブ,工学部8号館,FGA,音楽/バンド
Human Eatbox〜チョコチュロSound〜,銀杏並木B4,ビートボックスサークルHeartBeat,飲食/スイーツ
空飛ぶくるくるポテト,銀杏並木C6,ハンググライダーサークルfalsada,飲食/お食事系
東京大学地域継承研究会,赤門通りC6,地域継承研究会,学術/展示
